cut,page,action,dialogue,se,time,characters,confidence,notes
1,page_003.png,超常現象対策局 朝 ①PAN UP. (BANKあり?),,,4+12,,medium,コマ0とコマ1(PAN UP部分)が同じカット1。time欄は4+12と読む。BANKありの指示
2,page_003.png,阿久津 向かって座っている 顔から呼びかける 左っている 座休身体 一部 PAN 一部。二人静は眠そうにあくびをしている。,「朝ですよ 呼び出しにすまん。,,3,阿久津、二人静,low,action欄手書き崩れ大。dialogue『朝ですよ』は要確認。time欄丸囲み3
3,page_003.png,モニターの向かい側に座っている阿久津。,早速だが これを見て欲しい。,,2+12,阿久津,medium,コマ3とコマ4が同じカット3。time欄2+12
4,page_004.png,モニター。超常現象対策局のマークUP。(0f18k) / （続き）ニホンウナギの移動経路。画面切り変わり / 進路予想図に切り変わる。(赤い矢印。流れているようなモーションあり),ピッ / ニホンウナギみたいじゃな… / このニホンウナギと同じルートを取った場合、黒潮に乗って本国に接近することが予想されている。,SE「ピッ」,14,二人静、阿久津,low,コマ0(局章)は赤バツ＝削除指示。コマ0のaction末尾『2 画面切り変わり』は次コマへの繋ぎ。dialogue欄に二人静(off)『ニホンウナギみたいじゃ…』、阿久津(女)『まさにその通りだ。』のセリフあり。ニホンウナギ移動経路の海図画面(コマ1)、海図白コマ(コマ2)を含む。二人静セリフ。confidence中。 ｜ コマ1・2はカット4の続き（丸番号なし）。二人静(off)のセリフ。 ｜ コマ3は進路予想図(黒潮/海流図)。カット4の続き。dialogue欄に丸囲み『阿久津(女)』話者。time欄に丸14。
5,page_004.png,佐々木。愕然。,い…！,,2,佐々木,medium,コマ4=佐々木の顔アップ。dialogue欄丸囲み『佐々木』話者。time欄に丸2。action『愕然』は要確認。
6,page_005.png,モンタージュ PAN T.B.（4面コスト 3面くらい カ）,「私たちに集まってもらったのは、こうした場合に備えて事前に情報を集めておきたかったからだ。,,7,阿久津,medium,action欄一部の指示（コスト・面数）は手書きが崩れており推測。dialogue話者は丸囲みで阿久津
7,page_005.png,阿久津。佐々木を見て,佐々木君。実物を見ての率直な顔を聞かせて欲しい。」,,5,阿久津、佐々木,medium,
8,page_005.png,佐々木、一瞬焦りつつも。（阿久津）／佐々木、前のモニターを見て,「て、そういった意味でも、異能力者に頼るような場面ではないと思われ。,,6,佐々木、阿久津,medium,カット8は2コマにまたがるため統合。dialogue話者は丸囲みで佐々木。末尾は文が途切れている可能性あり
9,page_006.png,厳粛な表情の阿久津。クラーケンの分布データが大型モニターに映し出されている T.U.。二人静。,「攻撃に一定の効果はあるようですが、何もかも寄せつけないという訳ではないようで……」,,7,阿久津、二人静,medium,action・dialogueとも崩し字のため一部推定
10,page_006.png,二人静。何にもたれかかり(なが)。,二人静「その通りじゃ。」「台風に浮かんでるうちに、ジサイルでも積んで撃ち込んでしまえば、ええ」,,6+12,二人静,low,コマ1(番号10)とコマ2(番号なし=継続)を統合。dialogue細部不確実、要確認
11,page_006.png,星崎。そっけなく。,星崎「対象を隔離すれば、貴方なら簡単に対処出来るんじゃないのかしら?」,,5,星崎,medium,dialogue一部推定
12,page_006.png,二人静。ちょっと顔を出し。,二人静「ねぇじーしてそういう事言うの?儂に死ねと?」,,4,二人静,medium,dialogue一部推定
13,page_007.png,佐々木を挟み やいのやいの 気を遣う女子2人,星崎「だって気持ち悪いんじゃ？」二人静「海の藻屑となって延々と彷徨うことになるかもしれんが？」星崎「ちゃんと探してあげるわよ」二人静「(だが)…」,,9,佐々木、星崎、二人静,medium,13は2コマに跨る(picture上段=3人、下段=お隣さん手前)。continuationコマは番号なしのため統合。dialogue一部崩れ判読不確実
14,page_007.png,阿久津 みか(?),阿久津「星崎君はどうかね？」,,2+13,阿久津、星崎,medium,action2文字目要確認
15,page_007.png,身を乗り出す二人静 星崎,二人静「無理じゃ」星崎「！」二人静「だって無理じゃもん」,,9,二人静、星崎,medium,15は2コマに跨る(picture上段=3人、下段=キャラ2)。継続コマdialogue『どうして節が答えるのね』は判読不確実。統合済み
16,page_008.png,星崎、阿久津を見て。,「きあ、私は今月の人員で対処するのは難しいと思うけれど…」,,6,星崎、阿久津,medium,dialogue話者は丸囲みで『局長』または星崎系。冒頭『きあ』は要確認
17,page_008.png,,阿久津「……」わかった。詳細については改めて報告書を出してほしい。,,8,阿久津,medium,dialogue冒頭に丸囲み『阿久津』、続きは地の文的だがセリフとして統合
18,page_008.png,真所はここで、改めて佐々木を見つめる阿久津。↑PAN,佐々木・星崎「ない」/阿久津「ところで、佐々木君とこの部屋に…」,,3+12,佐々木、星崎、阿久津,low,action冒頭『真所』は誤読可能性、要確認。time欄は3+12
19,page_008.png,↑PAN …!?と3人。,「伝えたいことがある。」,,3,,medium,
20,page_008.png,↓PAN ざわざわめく間。佐々木、二人静。,佐々木「な…なんですか?」/二人静「なんじゃ?」,,4,佐々木、二人静,medium,dialogue丸囲み『二人静』確認。action『ざわめく』推定
21,page_009.png,阿久津。次シーン。（この阿久津モニターは超常現象対策局のマーク画面）,「思い起こせば君達の歓迎会を行っていなかったな」,,5+12,阿久津,medium,dialogue話者に丸囲み『阿久津』。台詞末尾やや不明瞭
22,page_009.png,一同ざわめく…。自然な感じでゆっくり。,＜間＞「え…?」,,4,星崎、佐々木,low,dialog列に丸囲み話者名あり(『佐々木』『星崎』等と推定)だが崩れで不確実。<間>3+12 の指示あり。会議室の各人物に丸囲み記号
23,page_009.png,喋る…（口パク）,,,2+13,,low,action欄崩れ、口の動きに関する指示か。dialog欄は波線と『+』記号のみでセリフなし
24,page_009.png,こちらをじっと見つめるクールな表情の阿久津。T.U.（大村個?）。キリッとかっこいい顔面,,,6,阿久津,medium,コマ4(阿久津バストの枠取り)とコマ5(顔アップ)は同カット24に統合。T.U.後の括弧内メモは不確実。time欄コマ5に丸囲み尺の一部
25,page_010.png,会議室の続き。同ト書き。,,,2+12,,medium,コマ0のOP(タイトルカード的な絵)は番号なしのため統合せず。action欄に『会議室の続き』等の走り書き。冒頭のOPコマは番号無し・本文なしのため出力に含めない
26,page_010.png,えっ、と……切り出す佐々木。困惑。,佐々木「歓迎、ですか…？」,,3,佐々木,medium,
27,page_010.png,そうだ、と阿久津。淡々と。,阿久津「店は既に押さえてある。今日の定時後にどうだろう？」,,4+12,阿久津,medium,
