cut,staging,confidence,notes
6,35mmレンズ、EYE線は画面中央やや上（着席者の頭上あたり）で、会議室のモニター側から入口ドア方向を正面に捉えた水平アングル。奥壁中央に大型モニター（薄緑の画面）を掲げ、その手前に楕円形の会議テーブルが横長に広がり、テーブル奥側に椅子3脚、手前側にも椅子が並ぶ左右対称に近い構図で、右奥にドアがある。指定はPAN T.B.（後方への引き）で、キャラ（阿久津＝奥中央、佐々木ら＝手前）の着席位置が椅子配置の根拠。,high,モニター内の映像や着席キャラ本体は背景に描かず、椅子・テーブル・空のモニター枠のみを描く点に注意。
7,内閣府超常現象対策局の会議室内、朝。85mmの望遠でパースは浅く、人物のバストアップを正面やや寄りで捉える画角。背景は右上に大型モニター（Book／緑のクロマ部分、モニター面）が斜めに配置され、それ以外は明るい会議室の壁面のみで、EYE線は画面下寄り。,medium,原図では右上のモニターBook以外に具体的な什器の描き込みが乏しく、壁面は簡素と判断。椅子や机は原図に線がないため描かない。
8,会議室の窓側正面に近い高さ（EYE線は画面下部、キャラ胸元付近）から、200mm望遠でパースの浅いフラットな壁面を捉えたバストショット向けの構図。画面ほぼ全域を縦桟の連続する明るいブラインド（またはルーバー窓）が占め、朝の光で白く飛び気味、下端に細い水平の腰壁ラインが横切る。手前下辺両端にBook扱いの前景（左＝水色の机／手すり状のもの、右＝黄緑の低い前景）がわずかに入る。,medium,縦の連続線はブラインド／ルーバー窓と解釈したが、モニターや個々の備品は原図背景に存在せず描かない（モニターはセル演出・別カット要素）。
11,会議室内から窓（縦型ブラインド）に向けたほぼ正対の画角で、50mmでパースは浅く安定している。画面のほぼ全域を縦ルーバーのブラインドが埋め、EYE線は画面中央やや下、右下前景にBook（椅子の背もたれ）が薄く入る。人物・モニター・机上の物は背景には描かず、朝の柔らかな順光でブラインドを照らす程度に留める。,medium,右下水色のBookは着席キャラ（星崎）前の椅子背に対応するため位置を動かさない、モニター描写はセル/前カット側の要素で背景には入れない。
12,会議室の室内を横位置から捉えた70mmの浅いパースの画角で、カメラは水平・EYE線は画面中央やや下（キャラ胸元付近）に置く。背景左半分に縦ブラインドの掛かった大きな窓、右半分に両開きのドアがあり、窓とドアの継ぎ目となる縦の壁枠が画面中央付近に立つ。手前にはBook扱いの人物越し（BOOK①が中央やや左、BOOK②=着物の人物が右下）で、机やモニターなどの小物は画面内に写り込まない。,high,原図に実在するのは左の縦ブラインド窓・中央の壁枠・右の両開きドアのみで、手前の青い塊はキャラ配置を示すBook指定。
13,会議室のテーブル越しに正面の壁を捉えたほぼ真正面のカメラで、75mm望遠によりパースは浅く水平構図。画面奥のほぼ全幅に縦ルーバー（ブラインド）の窓壁が広がり、その手前・EYE線付近に横長のテーブル（Book2）と等間隔に並ぶ3脚の椅子（Book1、着席する星崎・佐々木・二人静の位置に対応）が並ぶ。手前床はわずかに見える程度で、キャラクター・小物・モニタ類は背景には描かず、椅子とテーブルの位置は動かさない。,high,モニタ指示は原図メモにあるが背景線画としては窓壁ブラインドのみ実在するため描画対象から除外した。
14,会議室のテーブル越しに、着席した阿久津（画面右寄り、バストアップ）へ正対する目線の高さのカメラ。98mm望遠でパースは浅く、EYE線は画面上部1/6に水平に走る。背景はほぼ一様で、左側にホワイトボード状の明るい面と縦の枠線（柱またはパネルの区切り）がうっすら見えるのみで、キャラの右背後は均質な壁面。,medium,原図は無地に近い会議室内観でBookの縦線とホワイトボード様の明部以外に明確な家具・什器の描写がなく、テーブルや窓は推測扱いのため描写を最小限に留めた。
15,会議室の窓側の壁を正面やや見上げ気味に捉えた70mm望遠のパースの浅い画角で、EYE線は画面中央の縦ブラインド帯を横切る。上半分は縦ルーバー（ブラインド）の連なる大きな窓とその下の窓枠・カウンター、下半分には手前に横並びの水色オフィスチェア3脚（背もたれと座面）が並び、床は右下に向かって緑がかった床面が広がる。写らないもの: モニタ本体やキャラクター、机上の書類等（右上の『モニタ囲い』は指示メモで背景要素ではない）。椅子3脚の位置は着席する二人静・佐々木・星崎の位置に対応するため動かさない。,high,窓・ブラインド・カウンター・椅子3脚は原図に実在するが、右上のモニタ表記は書き込み指示で背景実体か不確か。
16,会議室内から窓側の壁面に向けた、85mmの浅いパースの構図。画面奥は縦桟が連続するブラインド（もしくは縦格子窓）が左端から右端まで水平に広がり、中央やや右には壁面のホワイトボードまたはモニター（メモ「モニター光」）が掛かる。EYE線は画面下部（胸〜肩の高さ）にあり、キャラは会議テーブル越しに着席する構図だが、テーブルや椅子は原図に明示されず、床面は下端にわずかに見える程度。,medium,縦線群はブラインド/縦格子窓と解釈、Book指定（イス/BOOK）は前景の椅子等だが原図線が薄く位置は着席キャラ基準の推測。
17,会議室の長机を斜め横から捉えた70mmの浅いパースのアイレベル・ショット。カメラは室内の一方の隅、机の左手前やや低め（EYE線は画面上部1/3、床のタイルが大きく見える）から、楕円形の会議テーブルとその左側に並ぶ3脚のオフィスチェア、右奥に離れて1脚のチェアを見る向き。背景の実在物は、左に縦ブラインドの窓、正面奥に取っ手付きの両開き収納扉（キャビネット）、右壁の扉と壁面のモニター（右上）、床の市松タイルで、椅子はキャラ着席位置に一致するため動かさない。,high,レンズ70mm・EYE線位置・床タイルの広がりから浅いパースのやや低いアイレベルと判断、右上のモニターは原図の書き込み指示に基づく。
