cut,page,action,dialogue,se,time,characters,confidence,notes
1,page_003.png,夜空に月、流れる雲 / フレームINしてくる一匹の蝶 A.C.,,,1+12 / 4+12,,medium,コマ0(△ここから)は番号なしのリード(タイトル前付け的指示)のため統合せず除外。コマ1にA.E.(1+12)とあり、絵は星空。scene欄に丸囲み『1』あり ｜ コマ2のscene欄は縦棒のみ(丸番号なし)＝直前カットの続き扱いだが、本文に新規の蝶IN指示とtime(4+12)あり。前ページ最後が0のため連番でカット2と補完。numbered=falseで続きコマ。要確認
3,page_003.png,BANK舞う蝶 / 印をいくつか組んで,,バッ バッ バッ……,2+12,尚善,low,scene欄に丸囲み『2』が描かれているが連番上はカット3相当。本文『BANK ◯◯』読み取り不確実。要確認 ｜ 右本文に『馬』らしき丸囲み記号あり、SEはバッの連続
4,page_003.png,鱗粉が舞う / ↑じわPAN UP、うすく目を開く,OK / A.P. / ……（次台詞）,,2,尚善,low,scene欄に丸囲み『3』。絵中にOK・A.P.のメモ書きあり。番号と連番(0からの連続)がずれており要確認 ｜ dialogue欄に『次台詞』の指示と…のみ
5,page_004.png,室内にただよう（クムリ）モヤ。BG,,,4,,medium,復活の儀の部屋。BG指定
6,page_004.png,同/離れ・外。扉に錠をかける花家爺の手もと,,ガチャリ…,1,花家爺,high,右本文に『SE』丸囲み
7,page_004.png,←PAN! 全尺・普通で / 土下座をね（花家妻と他）連れて来くたちも。（一列作成にコピペ） / （沈公子）そばによって、片膝をつく。,儀式が終わるまでは、誰もこの中に入らぬよう、いいですね? / 花家妻（皆）「沈公子さま、本当にありがとうございます。この恩は一生忘れません！」,（足音）,1+3,花家妻、沈公子,medium,dialogue欄に『次台詞』指示。time欄空欄 ｜ ページ最初のコマは丸番号なし＝前ページのカット7の続きとして統合 ｜ 縦棒のみの続きコマ。カット7に統合。time欄に「/3」表記
8,page_005.png,手を取る沈公子。頭を上げる花家妻。,沈公子「奥様もお身体には気をつけて。」花家妻「重ね重ねありがとうございます…」,,6,沈公子、花家妻,low,赤い丸囲み★印と「8」。人名は文脈・色見本より沈公子/花家妻 ｜ 二人の横顔の続きコマ。丸番号なし＝直前カット8に統合。time欄に「6」
9,page_005.png,同／儀式の間。何PAN UP↑ TB:送り 上→下 花家主人へ / (チロ)かかえて／苗：異変を感じてる。,沈公子（OFF）「それでは失礼いたします。何かあれば私の宿まで」 / 沈公子(OFF)：来ていただければ。／苗：・・・,,7,沈公子、花家主人、苗,medium,赤い丸囲み★印と「9」。カメラ指示はPAN UP/TB送り上→下 ｜ ページ最初のコマはscene欄に縦棒のみで丸番号なし＝前ページのカット9の続きとして統合。沈公子のセリフに〇囲み（沈公子）
10,page_006.png,,花家妻(OFF)：分かりました。爺。,,2,花家妻,medium,絵は目を閉じた顔のアップ。話者表記（花家妻？）やや不確実、要確認
11,page_006.png,眉・目・同上スプレ,(OFF)：ここに見張りを。私は,,2,,low,絵は顔アップ（眉・目スプレ指示）。話者表記なし、要確認
12,page_006.png,遠のく足音。静まり返る室内,(OFF)：道士様をお見送りします／花家爺(OFF)：はは,足音,,花家爺,medium,絵は屏風と二人の人物。話者一部不確実
13,page_006.png,(341ほど)／(静寂——)(341ほど)／ただおくり,,,9／4,,medium,絵は燭台（銅雁足灯）のアップ。time欄に9と4の二段。下矢印で次カットへcontinue
14,page_007.png,"眉、目
同上にブレ","（苗）（M）
…道士様は、ただ眠っていればいいと言っていたけど…",,,苗,medium,actionの『同上にブレ』は崩し字、要確認
15,page_007.png,目を見開いて、何かを見つける,"（苗）たまらず
…
あれは…？",,8,苗,medium,action前半は崩し字、推測含む
16,page_007.png,出入口横にある窓から一匹のイタチが入り込んで,,,,黄爺,medium,『一匹の○○』は黄爺（イタチの姿）と思われるが文字は不鮮明、要確認
17,page_007.png,#6 +6%兼用 FIX。鈴を見つける苗 / 眉を細める。画面切り別、獲物を散らしながら飛んでいる(虫?),苗「……。」 / (M)なんて清らしいくだろう…,,2 / 1+12,苗,low,絵に蝶／イタチらしき動きの線。本文ほぼ空白、time『2』のみ読める ｜ 左絵は横たわる苗の顔。本文上段に『#6 +6%兼用』『FIX』、下段に『鈴を見つける苗』 ｜ scene欄に丸番号なし=17の続きとして統合。台詞の一部読み取り不確実、要確認
18,page_007.png,"#6%兼用
（苗）のまわり、イタチのまわりをひらひらと飛ぶ / ○兼 ←じわPAN / FIXになり、目を閉じる苗",(M)最後にそばに来てくれた生き物が蝶だなんて… / (M)でも、ある意味私らしいのかもね…,,4+12 / 9,苗,medium,『#6%兼用』＝兼用(流用)指定。time『4+12』(4秒12コマ)。本文崩し字で推測含む ｜ 左絵は苗の目元アップ。本文に『兼』『←じわPAN』 ｜ scene欄に丸番号なし=18の続きとして統合
19,page_008.png,#6 BANK ーと、軋む床,(進)ギシ…,ギシ…,,,medium,左絵は床のアップ。本文に『#6 BANK』『ーと、軋む床』、△マークあり
20,page_009.png,"自己暗示
？… / 気配を感じ視線を下へ。","尚善「自己暗示」
苗「…？…」",,3+12,尚善、苗,low,本文手書き判読困難。丸囲み字は尚善/苗と推定するが要確認 ｜ scene欄は縦棒のみ＝カット20の続き。本来のカット番号は次コマ21に付与。レイアウト上ここはカット20の続きコマと判断したが、右本文は21の内容と連続。番号要確認
21,page_009.png,"↑PAN UP 全尺・普通で
苗と花家主人の寝具の中央あたり",,,,苗、花家主人,medium,丸囲み数字21。PAN UP指示。花家主人は丸囲み名を推定
22,page_009.png,白い兎が乗っては動く／苗から（続き）↑PAN UP こちらに振り向きそうな白い兎で。,,SE ↓ ↓ ↓ ↓,4+12,苗,low,コマ3(番号なし)とコマ4(丸囲み22)を統合。コマ3はscene欄縦棒の続きと判断し22に含めた。SEのリピート記号あり。判読困難箇所多く要確認
23,page_010.png,花家屋敷／離れ 祭壇。FIX＋フェアリング（Fix なし）,,,3,,medium,絵は仰向け／背後からの人物。action欄『祭壇』『FIX＋フェアリング(Fix なし)』読み取り
24,page_010.png,瞳ブレ,…何あれ？,,3,苗,high,dialogue話者『苗(M)』。Mはモノローグ/オフ
25,page_010.png,もう一体の白い鬼が現れ。,,ズズ…,3,,medium,action『もう一体の白い鬼が現れ』読み。SE『ズズ』
26,page_010.png,花家主人の方を向く。兼用,,ズシ… ズシ…,3,花家主人,medium,action『花家主人の方を向く』『兼』(兼用)。SE『ズシ…ズシ…』
27,page_011.png,花家主人の胸もとに手を置く白い鬼。一と、突如咳込む花家主人,苗(M)…身体が動かない。怖い…怖い…！　花家主人「げほっ…」　苗「!?…」,,5+1/2,苗、花家主人、白い鬼,medium,timeは手書きで5+12の可能性。コマ0とコマ1を統合
28,page_011.png,身体を起こす,ゴホッ…　ゴホッ…　う…,,2+1/2,,medium,timeは2+12の可能性
