cut,scene_key,place,time,weather,situation,situation_en,remove,remove_en,structures,era,source
1,対策局会議室,内閣府超常現象対策局の会議室,朝,,超常現象対策局 朝 ①PAN UP. (BANKあり?),,,,,現代日本（modern-day Japan）,conte:page_003.png;conf:medium
2,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_003.png;conf:low
3,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_003.png;conf:medium
4,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_004.png;conf:low
5,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_004.png;conf:medium
6,対策局会議室,内閣府超常現象対策局の会議室,朝,,モンタージュ PAN T.B.（4面コスト 3面くらい カ）,,,,,現代日本（modern-day Japan）,conte:page_005.png;conf:medium
7,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_005.png;conf:medium
8,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_005.png;conf:medium
9,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_006.png;conf:medium
10,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_006.png;conf:low
11,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_006.png;conf:medium
12,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_006.png;conf:medium
13,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_007.png;conf:medium
14,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_007.png;conf:medium
15,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_007.png;conf:medium
16,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_008.png;conf:medium
17,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_008.png;conf:medium
18,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_008.png;conf:low
19,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_008.png;conf:medium
20,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_008.png;conf:medium
21,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_009.png;conf:medium
22,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_009.png;conf:low
23,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_009.png;conf:low
24,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_009.png;conf:medium
25,対策局会議室,内閣府超常現象対策局の会議室,朝,,会議室の続き。同ト書き。,,,,,現代日本（modern-day Japan）,conte:page_010.png;conf:medium
26,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_010.png;conf:medium
27,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_010.png;conf:medium
28,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_010.png;conf:medium
29,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_011.png;conf:low
30,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_011.png;conf:low
31,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_012.png;conf:medium
32,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_012.png;conf:low
33,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_013.png;conf:medium
34,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_013.png;conf:medium
35,対策局会議室,内閣府超常現象対策局の会議室,朝,,こ静。ムぬぬ…と。観念して仏にもたれかかる。俯瞰PAN。,,,,,現代日本（modern-day Japan）,conte:page_014.png;conf:medium
36,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_014.png;conf:medium
37,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_014.png;conf:low
38,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_015.png;conf:medium
39,対策局会議室,内閣府超常現象対策局の会議室,朝,,,,,,,現代日本（modern-day Japan）,conte:page_015.png;conf:medium
40,高級料亭,高級料亭の個室座敷と庭園,夜,,夜。高級料亭の庭の鹿威し。,,,,,現代日本（modern-day Japan）,conte:page_016.png;conf:medium
41,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_016.png;conf:medium
42,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_016.png;conf:low
43,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_017.png;conf:medium
44,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_017.png;conf:medium
45,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_017.png;conf:low
46,高級料亭,高級料亭の個室座敷と庭園,夜,,庭園からカメラ。池の中、ブラブラ泳ぐ錦鯉。,,,,,現代日本（modern-day Japan）,conte:page_018.png;conf:medium
47,高級料亭,高級料亭の個室座敷と庭園,夜,,庭の池。絹をおさえるように泳ぐ鯉たち。,,,,,現代日本（modern-day Japan）,conte:page_018.png;conf:medium
48,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_018.png;conf:medium
49,高級料亭,高級料亭の個室座敷と庭園,夜,,机の上 豪華な料理 メインの鰻 PAN T.B.,,,,,現代日本（modern-day Japan）,conte:page_019.png;conf:medium
